title,url,date,text,full_content,processed_text,lemmatized_text
Путина рассмешил вопрос про Крым20:04,https://lenta.ru/news/2025/12/04/putina-rassmeshil-vopros-pro-krym/,,,Путина рассмешил вопрос про Крым20:04.,путина рассмешил вопрос крым,путина рассмешил вопрос крым
Умер проводивший деноминацию рубля экс-глава Центробанка20:05,https://lenta.ru/news/2025/12/04/umer-provodivshiy-denominatsiyu-rublya-eks-glava-tsentrobanka/,,,Умер проводивший деноминацию рубля экс-глава Центробанка20:05.,умер проводивший деноминацию рубля эксглава центробанка,умер проводивш деноминац рубл эксглава центробанка
Жена разоблачила обманувшего ее мужа благодаря стихийному бедствию20:03,https://lenta.ru/news/2025/12/04/zhena-razoblachila-obmanuvshego-ee-muzha-blagodarya-stihiynomu-bedstviyu/,,,Жена разоблачила обманувшего ее мужа благодаря стихийному бедствию20:03.,жена разоблачила обманувшего мужа благодаря стихийному бедствию,жена разоблачила обманувшег мужа благодар стихийном бедств
Путин высказался о восстановлении СССР20:02,https://lenta.ru/news/2025/12/04/putin-vyskazalsya-o-vosstanovlenii-sssr/,,,Путин высказался о восстановлении СССР20:02.,путин высказался восстановлении ссср,путин высказалс восстановлен ссср
Максим Галкин распахнул надетый на голое тело пиджак перед камерой20:02,https://lenta.ru/news/2025/12/04/maksim-galkin-raspahnul-nadetyy-na-goloe-telo-pidzhak-pered-kameroy/,,,Максим Галкин распахнул надетый на голое тело пиджак перед камерой20:02.,максим галкин распахнул надетый голое тело пиджак камерой,максим галкин распахнул надет гол тел пиджак камер
Школьница стала приманкой в вымогательстве миллиона у россиянина20:01,https://lenta.ru/news/2025/12/04/shkolnitsa-stala-primankoy-v-vymogatelstve-milliona-u-rossiyanina/,,,Школьница стала приманкой в вымогательстве миллиона у россиянина20:01.,школьница стала приманкой вымогательстве миллиона россиянина,школьница стала приманк вымогательств миллиона россиянина
Путин назвал друзей России20:01,https://lenta.ru/news/2025/12/04/putin-nazval-druzey-rossii/,,,Путин назвал друзей России20:01.,путин назвал друзей россии,путин назвал друз росс
Третий спутник АмГУ запустят в 2025 году19:57,https://lenta.ru/news/2025/12/04/tretiy-sputnik-amgu-zapustyat-v-2025-godu/,,,Третий спутник АмГУ запустят в 2025 году19:57.,третий спутник амгу запустят году,трет спутник амг запустят год
В России захотели установить памятник бойцам из Северной Кореи19:55,https://lenta.ru/news/2025/12/04/v-rossii-zahoteli-ustanovit-pamyatnik-boytsam-iz-severnoy-korei/,,,В России захотели установить памятник бойцам из Северной Кореи19:55.,россии захотели установить памятник бойцам северной кореи,росс захотел установить памятник бойцам северн кор
55-летний турист вломился в студенческую квартиру ночью в поисках девушки для секса19:52,https://lenta.ru/news/2025/12/04/55-letniy-turist-vlomilsya-v-studencheskuyu-kvartiru-nochyu-v-poiskah-devushki-dlya-seksa/,,,55-летний турист вломился в студенческую квартиру ночью в поисках девушки для секса19:52.,летний турист вломился студенческую квартиру ночью поисках девушки секса,летн турист вломилс студенческ квартир ночь поисках девушк секса
